adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,height_ft,n_ground_truth,penalty_nm,radius_nm
0.990480691331353,0.3114512805416544,0.08297237057908238,0.9921025285763768,0.3309868843437586,0.813953488372093,0.08869741510390268,0.308486479666933,0.009041591320072333,0.9888944531180959,0.3569010471424366,0.08372934101518147,0.9892192868143584,0.3874150908757114,0.44854881266490765,0.02134605725765947,0.3529374658311956,0.003984608267799319,0.0,95116,10.0,5.0
0.9912499075694462,0.42654232726355185,0.08297237057908238,0.9931637679702423,0.45615885536090983,0.813953488372093,0.08869741510390268,0.42281004247445225,0.009041591320072333,0.9915139514678843,0.5203435804701627,0.08372934101518147,0.9919475883331305,0.5657013034697999,0.49122807017543857,0.02109492717227524,0.5159279195929182,0.003595609571470625,500.0,95116,10.0,5.0
0.9916342882638359,0.5655305101139662,0.08297237057908238,0.9936576250070785,0.6073672383747593,0.8177570093457944,0.08869741510390268,0.5607994448883469,0.008999537406955718,0.9913946587537092,0.566886748811977,0.08372934101518147,0.9918659841786878,0.6164517165412153,0.49122807017543857,0.02109492717227524,0.5620084948904496,0.003595609571470625,1000.0,95116,10.0,5.0
0.9924024349959889,0.6683733546406493,0.08297237057908238,0.9944543600203978,0.7194350178849858,0.8500619578686494,0.08692346680182464,0.6632953446318179,0.008484376971277177,0.9907787257215466,0.579187518398587,0.08372934101518147,0.9915087463556851,0.6297044244538278,0.49122807017543857,0.02109492717227524,0.5738466714327768,0.003595609571470625,2000.0,95116,10.0,5.0
0.9917696687217912,0.7127928003700744,0.08297237057908238,0.9939375839928326,0.7677932679079152,0.8535353535353535,0.08565636087176888,0.7069262794903066,0.008326674797089869,0.9888752438055335,0.5821523192733083,0.08372934101518147,0.990150910541972,0.6325959243620342,0.4897360703812317,0.020969362129583124,0.5756760166533496,0.0035850960931914713,5000.0,95116,10.0,5.0
0.9916583299005473,0.7146221455906472,0.08297237057908238,0.9938788275944239,0.7697881317068697,0.8527918781725888,0.08514951849974658,0.708661003406367,0.008284620883973253,0.9879013410994858,0.5848227427562135,0.08372934101518147,0.9891669374932294,0.6355103726822104,0.4897360703812317,0.020969362129583124,0.5777471718743429,0.0035850960931914713,8000.0,95116,10.0,5.0
0.9911681288483298,0.715431683418142,0.08297237057908238,0.9934692055935733,0.7706594515271026,0.8518518518518519,0.0845159655347187,0.7091130829723706,0.008232053492577484,0.9873672121734137,0.5858951175406871,0.08372934101518147,0.9886459891506119,0.63666926748669,0.4897360703812317,0.020969362129583124,0.5784936288321628,0.0035850960931914713,10000.0,95116,10.0,5.0
0.990707438453295,0.7161676268976829,0.08297237057908238,0.9930004458314757,0.7714619829404751,0.8518518518518519,0.0845159655347187,0.7095125951469784,0.008232053492577484,0.9864091559370529,0.5879137053702848,0.08372934101518147,0.9877325957324521,0.6388378924178447,0.4897360703812317,0.020969362129583124,0.5799234618781277,0.0035850960931914713,15000.0,95116,10.0,5.0
0.9903891301795985,0.7165145716808949,0.08297237057908238,0.9926919477741634,0.7718403191782078,0.8516624040920716,0.08438925494171312,0.7096282434080491,0.008221540014298331,0.985704864267508,0.5898376718953698,0.08372934101518147,0.987020891888505,0.6409376721130898,0.4897360703812317,0.020969362129583124,0.5814058623154884,0.0035850960931914713,20000.0,95116,10.0,5.0
0.990012466084916,0.716861516464107,0.08297237057908238,0.9923095195676703,0.7722186554159406,0.8516624040920716,0.08438925494171312,0.7097018377560032,0.008221540014298331,0.9853954942790136,0.5917406114638967,0.08372934101518147,0.9867235318260497,0.64300302919038,0.4897360703812317,0.020969362129583124,0.5830985323184322,0.0035850960931914713,25000.0,95116,10.0,5.0
0.989723517166564,0.7171664073342024,0.08297237057908238,0.9920457075016695,0.7725511327157663,0.8512820512820513,0.08413583375570198,0.7097964590605156,0.008200513057740022,0.9844357976653697,0.5944320619033601,0.08372934101518147,0.9859287554410588,0.6458256838626767,0.4897360703812317,0.020969362129583124,0.5851802010177047,0.0035850960931914713,30000.0,95116,10.0,5.0
0.9888168391469181,0.7182492955969553,0.08297237057908238,0.9915505484731693,0.7734109878015225,0.8510911424903723,0.0840091231626964,0.7102169981916817,0.008189999579460868,0.9796961373987414,0.6047983514866059,0.08372934101518147,0.9825677967583446,0.6562442628970075,0.48942598187311176,0.020341536916122553,0.592518608856554,0.003479961310399933,35000.0,95116,10.0,5.0
0.9880767994389082,0.719521426468733,0.08297237057908238,0.9910455272038363,0.7746033201871044,0.8510911424903723,0.0840091231626964,0.7109424281929434,0.008189999579460868,0.9781748738234893,0.6165944741158165,0.08372934101518147,0.9818412742001922,0.6685331375068845,0.5,0.020341536916122553,0.6031372219184995,0.0034063669624458557,40000.0,95116,10.0,5.0
0.988049147515596,0.7196160477732453,0.08297237057908238,0.9910317883146865,0.7746950380629185,0.8510911424903723,0.0840091231626964,0.7110160225408975,0.008189999579460868,0.9781680920884839,0.6183291980318769,0.08372934101518147,0.9818408981994934,0.6704149072884157,0.5,0.020341536916122553,0.6048298919214433,0.0034063669624458557,1000000000.0,95116,10.0,5.0
0.9893122049898854,0.31182976575970395,0.08297237057908238,0.9909015429322632,0.3313996147849216,0.813953488372093,0.08869741510390268,0.3084969931452122,0.009041591320072333,0.9872997207114508,0.3576159636654191,0.08372934101518147,0.9876152754788367,0.3881953368826877,0.44854881266490765,0.02134605725765947,0.3530741410488246,0.003984608267799319,0.0,95116,10.0,10.0
0.9901519068370387,0.42702594726439297,0.08297237057908238,0.9920419741929005,0.4566862331468403,0.813953488372093,0.08869741510390268,0.4228205559527314,0.009041591320072333,0.9902769652835213,0.5211846587324951,0.08372934101518147,0.9907051152241707,0.5666192399485955,0.49122807017543857,0.02109492717227524,0.5161171622019429,0.003595609571470625,500.0,95116,10.0,10.0
0.9906399732570664,0.5661087514193196,0.08297237057908238,0.9926459496153266,0.6079977987709805,0.8177570093457944,0.08869741510390268,0.5608099583666261,0.008999537406955718,0.9899851906701221,0.5679380966398924,0.08372934101518147,0.9904505341384116,0.6175991371397099,0.49122807017543857,0.02109492717227524,0.5622503048908701,0.003595609571470625,1000.0,95116,10.0,10.0
