flights,fresh_share,freshness,overall_t2pt_vs_ols,overall_vr_vs_ols,t2pt_vs_ols,vr_vs_ols,vr_zero_share,window_min
11905,0.34632151466713834,1. <30% fresh,0.33433693718352264,0.6066443136718216,0.3034019319613608,0.5538009239815204,0.5013784466209439,5
15499,0.34632151466713834,2. 30-60%,0.33433693718352264,0.6066443136718216,0.32821472353055037,0.6431382669849668,0.5013784466209439,5
1104,0.34632151466713834,3. 60-90%,0.33433693718352264,0.6066443136718216,0.6177536231884058,0.6222826086956522,0.5013784466209439,5
720,0.34632151466713834,4. >=90% fresh,0.33433693718352264,0.6066443136718216,0.5430555555555555,0.6708333333333333,0.5013784466209439,5
9279,0.41708919401214867,1. <30% fresh,0.502758130562794,0.631121188534299,0.3933613535941373,0.555663325789417,0.5099001960142151,10
13913,0.41708919401214867,2. 30-60%,0.502758130562794,0.631121188534299,0.48695464673327105,0.631783224322576,0.5099001960142151,10
5544,0.41708919401214867,3. 60-90%,0.502758130562794,0.631121188534299,0.7196969696969697,0.7530663780663781,0.5099001960142151,10
813,0.41708919401214867,4. >=90% fresh,0.502758130562794,0.631121188534299,0.5424354243542435,0.6494464944649446,0.5099001960142151,10
7700,0.4949091218972199,1. <30% fresh,0.550929614873838,0.6622841965471448,0.3987012987012987,0.5724675324675325,0.5212330086661455,20
10392,0.4949091218972199,2. 30-60%,0.550929614873838,0.6622841965471448,0.48614318706697457,0.6179753656658968,0.5212330086661455,20
11059,0.4949091218972199,3. 60-90%,0.550929614873838,0.6622841965471448,0.7126322452301294,0.7626367664345781,0.5212330086661455,20
969,0.4949091218972199,4. >=90% fresh,0.550929614873838,0.6622841965471448,0.6099071207430341,0.7058823529411765,0.5212330086661455,20
